"Datenbank","Identifier (0)","Klassifikation (50)","Klassifikation (50.1)","Klassifikation (50.3)","Klassifikation (50.4)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Sonstige Personen (101)","Sonstige Personen (101.1)","Sonstige Personen (101.2)","Sonstige Personen (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Serie/ Reihe (400)","Serie/ Reihe (400.1)","Serie/ Reihe (400.2)","Serie/ Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)",492,492.1,492.2,492.3,"Systematik (080)","Systematik (080.1)","Schlagwort (600)","Schlagwort (600.1)","Schlagwort (600.2)","Schlagwort (600.3)","Regalstandort (852)","Regalstandort (852.1)","Regalstandort (852.2)","Regalstandort (852.3)","In- Vermerk (770)","In- Vermerk (770.1)","URL (850)","URL (850.1)","Originalsprachl. Inhalt (880)","Originalsprachl. Inhalt (880.1)"
"Stadtbibliothek Chemnitz","706316","I 148.3",,,,,,,,,,,,,,,,,,"Deutschlernen mit Bildern: Kleidung und Körper",,,,,,,,,"Mülheim an der Ruhr",,,,"Verlag an der Ruhr",,,,"[2016]",,"1 Spiel (64 Karten) ;",,,"Deutschlernen mit Bildern",,,,"mit Anwendungstipps und Download im Faltkarton",,"9783834631510","3834631515",,,,,,,,,,,,,"Fremdsprache","Vokabellernen","Araber",,"I 148.3 Deu",,,,,,,,
"Stadtbibliothek Chemnitz","705520","G 211 G 219",,,,,,,,,,,,,,,,,,"Risiko - Game of Thrones Gefecht-Edition",,,,,,,,,"Düsseldorf",,,,"Winning Moves",,,,"©[2016]","© 2016","1 Spiel (1 Westeros-Spielbrett, 5 Armeen, 5 Aufbewahrungsboxen, 48 Gebietskarten, 1 Spielende-Karte, 5 Würfel, 1 Spielanleitung) ;",,,,,,,"Strategiespiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Games Risiko",,,,,,,,
"Stadtbibliothek Chemnitz","681827","III G 219",,,,,"Burkhardt, Günter","Margielsky, Marc",,,,,,,,,,,,"Die Welt",,,,,,,,,"Stuttgart",,,,"Franckh-Kosmos Verl.",,,,"2016",,"1 Spiel (6 Landkarten, 16 Chips, 90 Karten, 1 Anleitung) ;",,,,,,,"Rätselspiel. - für 2-4 Spieler. - ab 10 Jahren. - Spieldauer 30 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Welt",,,,,,,,
"Stadtbibliothek Chemnitz","702665","II G 21",,,,,"Fiore, Christian","Happel, Knut",,,,,,,,,,,,"Bibi & Tina",,,,,,,,,"Berlin",,,,"Schmidt",,,,"[2016]","© 2016","1 Spiel (1 Spielfigur ""Die drei Muskeltiere"", 3 Spielfiguren ""Die hotten Hühs"", 8 Sternkarten, 1 Spielplan, 1 Stoffbeutel, 40 Hinweiskärtchen, 12 ""Fiese-Trix""-Kärtchen, 2 Würfel, 3 Übersichtstafeln, 1 Anleitung) ;",,,,,,,"Laufspiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Rot Spiele Bibi",,,,,,,,
"Stadtbibliothek Chemnitz","702663","G 219",,,,,"Rozoy, Manuel","Carré, Benjamin","Lecossu, David",,,,,,,,,,,"T.I.M.E Stories",,,,,,,,,"BUC&nSPACE Cowboys",,,,,,,,"[2016]","© 2016","1 Spiel (8 Agenten-Spielfiguren, 1 Zeitmarker, 1 Gruppenmarker, 1 Würfel des Zeit-Captains, 6 Aktionswürfel, 40 normale Schilde [leer/Totenschädel], 7 Zeit-Schilde, 7 Herz-Schilde, 7 besondere Schilde, 140 Ressourcenplättchen, 30 Lenbenspunkte, 24 Statusplättchen, 1 Anleitung) ;",,,,,,,"Strategiespiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Games T.I.M.E",,,,,,,,
"Stadtbibliothek Chemnitz","704883","G 212",,,,,,,,,,,,,,,,,,"Hinterher ist man immer schlauer",,,,,,,,,"Schweden",,,,"Kylskåpspoesi AB",,,,"[2016]",,"1 Spiel (110 Karten)",,,,,,,"Wissensspiel ; Familienspiel",,,,,,,,,,,,,,,,,,,,"G 212 Hin",,,,,,,,
"Stadtbibliothek Chemnitz","704874","G 212",,,,,,,,,,,,,,,,,,"Brain Master",,,,,,,,,"London",,,,"Paul Lamond Games Ltd.",,,,"[2016]",,"1 Spiel",,,,,,,"2 players",,,,,,,,,,,,,,,,,,,,"G 212 Bra",,,,,,,,
"Stadtbibliothek Chemnitz","705014","C 101",,,,,"Webel, Matthias Leo","Skopnik, Bernhard",,,,,,,,,,,,"Black stories - Scary Music Edition",,,,,,,,,"Kempen",,,,"Moses Verlag GmbH",,,,"[2016]","© 2016","1 Spiel (50 Karten, 1 Spielanleitung) : Illustrationen ;",,,"Black stories",,,,"Ab 2 Spieler",,"9783897778580",,,,,,,,,,,,,,"Kriminalfall","Quiz","Quizfrage",,"Kriminalfälle Black",,,,,,,,
"Stadtbibliothek Chemnitz","709188","I G 2",,,,,"Haferkamp, Kai","Lohr, Stefan",,,,,,,,,,,,"Fußball",,,,,,,,,"Stuttgart","Nürnberg",,,"Kosmos","Tessloff Verlag",,,"[2016]","[2016]","1 Spiel (10 Themenkarten, 40 Motivkärtchen, 4 Spielfiguren, 1 Anleitung) ;",,,"Was ist Was - Junior",,,,"Memospiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","724095","II G 21",,,,,"Shinohara, Yoshiteru","Scanff, Charlène Le","Rapp, Sebastian",,,,,,,,,,,"Crossing",,,,,,,,,"Essen",,,,"Asmodee",,,,"[2016]",,"1 Spiel (6 Figurenplättchen, 5 Pilzplättchen, 60 Lebenssteine, 1 Beutel, 1 Regelheft) ;",,,,,,,"Taktikspiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Rot Spiele Cross",,,,,,,,
"Stadtbibliothek Chemnitz","724097","III G 212",,,,,"Baumann, Dirk","Odenhoven, Thomas","Schmitt, Matthias",,,,,,,,,,,"Krazy Wordz",,,,,,,,,"Bernau",,,,"F.X. Schmid GmbH",,,,"[2016]","© 2016","1 Spiel (270 Spielkarten, 7 Tableaus, 64 Buchstaben, 48 Stegpunktechips, 1 Spielanleitung) ;",,,"Family Edition","Fishtank",,,"Wortspiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Blau Spiele Krazy",,,,,,,,
"Stadtbibliothek Chemnitz","705518","G 211",,,,,"Walker-Harding, Phil","Coimbra, Miguel",,,,,,,,,,,,"Imhotep",,,,,,,,,"Stuttgart",,,,"KOSMOS",,,,"[2016]","© 2016","1 Spiel (120 Holzwürfel, 5 Orts-Tafeln, 1 Wertungs-Tafel, 8 Boots-Plättchen, 4 Vorrats-Plättchen, 21 Runden-Karten, 34 Markt-Karten, 1 Spielanleitung) ;",,,,,,,"Strategiespiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Games Imhotep",,,,,,,,
"Stadtbibliothek Chemnitz","723994","I 357",,,,,,,,,,,,,,,,,,"Interpol ermittelt",,,,,,,,,"München",,,,"Grubbe Media GmbH",,,,"[2016]",,"1 Spiel (30 Krimiplot-Karten, 6 Fragen-Karten, 100 Ermittlerkarten, 1 Spielanleitung) ;",,,,,,,"Alter: ab 12 Jahren",,"9783197795867","3197795865",,,,,,,,,,,,,,,,,"350 I 357 Int",,,,,,"http://deposit.d-nb.de/cgi-bin/dokserv?id=9dfe2b1e3544425884a59a1837191036&prov=M&dok_var=1&dok_ext=htm",,
"Stadtbibliothek Chemnitz","723993","I 327",,,,,,,,,,,,,,,,,,"Interpol ermittelt",,,,"1. Auflage",,,,,"München",,,,"Grubbe Media GmbH",,,,"[2016]",,"1 Spiel (30 Krimiplotkarten, 6 Fragenkarten, 100 Ermittlerkarten, Spielanleitung) ;",,,,,,,"Alter: ab 12 Jahren",,"9783197695860","3197695860",,,,,,,,,,,,,,,,,"320 I 327 Int",,,,,,"http://deposit.d-nb.de/cgi-bin/dokserv?id=d5dfd8abd07443fd9e3b16ff66057f17&prov=M&dok_var=1&dok_ext=htm",,
"Stadtbibliothek Chemnitz","723992","I 317",,,,,,,,,,,,,,,,,,"Interpol ermittelt",,,,"1. Auflage",,,,,"München",,,,"Grubbe Media GmbH",,,,"[2016]",,"1 Spiel (30 Krimiplotkarten, 6 Fragenkarten, 100 Ermittlerkarten, Spielanleitung)",,,,,,,"Alter: ab 12 Jahren",,"9783197595863","3197595866",,,,,,,,,,,,,,,,,"310 I 317 Int",,,,,,"http://deposit.d-nb.de/cgi-bin/dokserv?id=16a7e20141f147a6b3910e3d2010a646&prov=M&dok_var=1&dok_ext=htm",,
