"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Lieselotte teilt aus ein verrücktes Memo- und Geschicklichkeitsspiel",,,"Nikisch, Markus","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Elfer raus! Master",,,"Kramer, Wolfgang","2011",,"Rot Spiele Elfer",,,,,
"Stadtbibliothek Chemnitz","Casa Grande wer clever plant und geschickt baut, kann reichlich kassieren",,,"Burkhardt, Günter","2011",,"Blau Spiele Casa Games CasaGra",,,,,
"Stadtbibliothek Chemnitz","Big Five gib mir 5!",,,"Knizia, Reiner","2011",,"Rot Spiele Big",,,,,
"Stadtbibliothek Chemnitz","Artefakt Geheimnisvollen Schätzen auf der Spur",,,"Palm, Michael","2011",,"Blau Spiele Arte",,,,,
"Stadtbibliothek Chemnitz","Yakari das kooperative Brettspiel",,,"Lobet, Annick","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ein Tag auf dem Reiterhof eine einzigartige Kombination aus Würfel-, Quiz & Geschicklichkeitsspiel",,,,"2011",,"Rot Spiele Tag",,,,,
"Stadtbibliothek Chemnitz","Erwischt jeder kann der Nächste sein",,,"Lemay, Christian","2011",,"G 212 Erw",,,,,
"Stadtbibliothek Chemnitz","SpongeBob Schwammkopf Labyrinth",,,"Kobbert, Max J.","2011",,"Rot Spiele Sponge",,,,,
"Stadtbibliothek Chemnitz","Bagan die Jagd durch den Dschungel Vietnam",,,,"2011",,"Rot Spiele Bagan",,,,,
"Stadtbibliothek Chemnitz","Auf die Birne",,,"Reindl, Manfred","2011",,"Rot Spiele Auf",,,,,
"Stadtbibliothek Chemnitz","Bibi & Tina das große Springreiten",,,"Rayhle, Amadeus","2011",,"Rot Spiele Bibi",,,,,
"Stadtbibliothek Chemnitz","23 Aufsteigend... Ablegen Kartenspiel",,,"Behre, Christoph","2011",,"Rot Spiele 23",,,,,
"Stadtbibliothek Chemnitz","Ententeich ein spannendes Fütterspiel",,,"Breuer, Stefan","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Jäger der Nacht",,,"Ikeda, Yasutaka","2011",,"Blau Spiele Jäger",,,,,
"Stadtbibliothek Chemnitz","Arschbombe",,,"Lach, Bernhard","2011",,"Rot Spiele Arsch",,,,,
"Stadtbibliothek Chemnitz","Nicht Ja, nicht nein das witzige Fragespiel, bei dem alle Antworten erlaubt sind - außer ja oder nein! ; zwei Spielstufen für Kinder und Erwachsene",,,,"2011",,"Rot Spiele Nicht",,,,,
"Stadtbibliothek Chemnitz","Tohuwabohu",,,"Prinz, Matthias","2011",,"Rot Spiele Tohu",,,,,
"Stadtbibliothek Chemnitz","Wollmilchsau",,,"Bos, Liesbeth","2011",,"Rot Spiele Woll",,,,,
"Stadtbibliothek Chemnitz","Cars 2 Super Race 1.000 Kilometer auf dem Spielbrett ; nach dem franz. Kult-Kartenspiel: Mille Bornes",,,,"2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gregs Tagebuch - Stinke Käse",,,"Kinney, Jeff","2011",,"Rot Spiele Greg",,,,,
"Stadtbibliothek Chemnitz","Prinzessin Lillifee - Ein Fest für das Einhorn",,,"Brand, Markus","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Brücke am Rio D'oro! Kartenspiel",,,"Moyersoen, Fréderic","2011",,"Rot Spiele Brücke",,,,,
"Stadtbibliothek Chemnitz","Phase 10 Junior",,,"Armbruster, Susanne","2011",,"Rot Spiele Phase",,,,,
"Stadtbibliothek Chemnitz","Kalimambo",,,"Scrittore, Antonio","2011",,"Rot Spiele Kalim",,,,,
"Stadtbibliothek Chemnitz","Tschak!",,,"Ehrhard, Dominique","2011",,"Blau Spiele Tschak",,,,,
"Stadtbibliothek Chemnitz","Tante Trudels Trödel",,,"Bogen, Steffen","2011",,"Rot Spiele Tante",,,,,
"Stadtbibliothek Chemnitz","Bonbons",,,"André, Marc","2011",,"Rot Spiele Bonbo",,,,,
"Stadtbibliothek Chemnitz","Fuchs & fertig",,,"Weber, Bernhard","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Lieselotte lauert ein ku(h)rioses Würfelspiel",,,"Nikisch, Markus","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wettlauf auf der Weide",,,"Brand, Inga","2011",,"Rot Spiele Wett",,,,,
"Stadtbibliothek Chemnitz","Wer Wo Was Male das!",,,"Nuyens, Kristine","2011",,"Rot Spiele Wer",,,,,
"Stadtbibliothek Chemnitz","Star Wars: Angriff der Rebellen",,,"Dochtermann, Sandra","2011",,"Rot Spiele Star",,,,,
"Stadtbibliothek Chemnitz","Hattari",,,"Sasaki, Jun","2011",,"Rot Spiele Hatta",,,,,
"Stadtbibliothek Chemnitz","Jahreszeiten",,,"Bachmann, Hanna","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","DaTonni",,,"Galor, Sharon","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","5 vor 12 wer die Zahl hat, hat die Wahl!",,,"Schacht, Michael","2011",,"Rot Spiele 5",,,,,
"Stadtbibliothek Chemnitz","Baumhaus-Party ...ein tierisches Memospiel",,,"Kallenborn, Martin","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Durch das Jahr",,,"Leistner, Verena","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Regenbogen-Land Ein packender Farbenwettlauf",,,"Dreher, Ilse","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ab in den Stall",,,,"2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Von früh bis spät",,,"Nikisch, Markus","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Tabu junior das quietschig-schnelle Spiel ums richtige Wort",,,,"2011",,"Rot Spiele Tabu",,,,,
"Stadtbibliothek Chemnitz","Tierisch auf Zack! Fit fürs Lernen - fex Förderung exekutiver Funktionen",,,"Koser, Miriam","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Repello Das Spiel mit Erfolg!",,,"Holmström, Arne","2011",,"Blau Spiele Repe",,,,,
"Stadtbibliothek Chemnitz","Zuhause Das Kindergarten-Wörterspiel",,,"Ballhaus, Hanne","2011",,"Sport Spiel",,,,,
"Stadtbibliothek Chemnitz","Super Rhino! Spielidee: Steven Strumpf & Scott Fisco. Ill.: Thies Schwarz",,,"Strumpf, Sven","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kulami mit Murmeln denken",,,"Kuhnekath, Andreas","2011",,"Blau Spiele Kulam",,,,,
"Stadtbibliothek Chemnitz","Freitag Ein Solo-Abenteuer",,,"Friedemann, Friese","2011",,"Blau Spiele Freit",,,,,
"Stadtbibliothek Chemnitz","Mogelmotte Schummeln erlaubt!",,,"Brand, Emely","2011",,"Rot Spiele Mogel",,,,,
"Stadtbibliothek Chemnitz","Miss Lupun ...und das Geheimnis der Zahlen",,,"Sing, Thomas","2011",,"Blau Spiele Miss",,,,,
"Stadtbibliothek Chemnitz","Schnappt Hubi! bahnt euch den Weg durch die verzauberten Wände des Spukhauses!; das Spieleabenteuer mit dem magischen Kompass",,,"Bogen, Steffen","2011",,"Rot Spiele Schnap",,,,,
"Stadtbibliothek Chemnitz","Schlaue Köpfchen Das Brettspiel für aufgeweckte Kinder von 2 bis 5 Jahren!",,,"Gordon, Ali","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das magische Labyrinth Kartenspiel",,,"Baumann, Dirk","[2011]",,"Rot Spiele Magis",,,,,
"Stadtbibliothek Chemnitz","Der verflixte Zaubertrank",,,"Vogt, Rolf","2011",,"Rot Spiele Verfli",,,,,
"Stadtbibliothek Chemnitz","Hol's der Geier!",,,"Randolph, Alexander","[2011]",,"Games Hol's",,,,,
"Stadtbibliothek Chemnitz","Geistermühle Moulin Hanté = Mulino dei Fantasmi",,,"Daum, Thomas","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Expedition Dino ein abenteuerliches Geschicklichkeitsspiel = Expédition Dino",,,"Baars, Gunter","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die pfiffige Cosel ein Wissens- und Würfelspiel für Kinder und Erwachsene",,,"Tessmann, Dorina","2011",,"Ter G 20.0 Sachsen Pfi",,,,,
"Stadtbibliothek Chemnitz","Pyjamaparty Chuchotement au clair de la lune",,,"Frei, Andreas","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Meine ersten Spiele - mein Tag",,,"Bachmann, Hanna","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mein allererstes Memory",,,"Schober, Michael","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mit Köpfchen",,,"Lange, Angelika","[2011]",,"Rot Spiele Maus",,,,,
"Stadtbibliothek Chemnitz","Quelf Das unberechenbare Oartyspiel, das dem Wort Chaos einen völlig neuen Sinn gibt",,,,"2010",,"Games Quelf",,,,,
"Stadtbibliothek Chemnitz","Black stories - 3 die 50 ultimativen schwarzen Rätsel",,,"Bösch, Holger","2010",,"Games Black",,,,,
"Stadtbibliothek Chemnitz","Uno H2O to go Kartenspiel : wasserfest",,,,"[2010]",,"G 213 Uno",,,,,
"Stadtbibliothek Chemnitz","Skip-Bo",,,,"2010",,"G 213 Ski",,,,,
"Stadtbibliothek Chemnitz","Was gehört zusammen? das Zahlen-Memo ; [Alter: 5-8 Jahre]",,,,"2010",,"BF Sport + Spiel",,,,,
"Stadtbibliothek Chemnitz","Was gehört zusammen? das Anlaut-Memo ; [Alter: 5-8 Jahre]",,,"Boretzki, Anja","2010",,"BF Sport + Spiel",,,,,
"Stadtbibliothek Chemnitz","Hasen-Hosen In welches Wort passt der gewürfelte Buchstabe? ; Das witzige Wortspiel rund um Vokale",,,"Galonska, Susanne","2010",,"Rot Spiele Hasen",,,,,
"Stadtbibliothek Chemnitz","Kraken-Alarm Kipp, kipp, hurra! Wer kenntert da?",,,"Ingelhaut, Oliver","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Viva Topo! Das abenteuerliche Mäusespiel für die ganze Familie!",,,"Ludwig, Manfred","2010",,"Sport Spiele Spiel I G Viv",,,,,
"Stadtbibliothek Chemnitz","Schweinebande ein Familienspiel",,,"Dorra, Stefan","2010",,"Rot Spiele Schwei",,,,,
"Stadtbibliothek Chemnitz","Fünf Tierfreunde der Memospaß mit den Tierkindern",,,"Dirscherl, Wolfgang","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz - Ich und Du Lernspielspaß",,,"Bücken, Hajo","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz in Bewegung",,,"Bücken, Hajo","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz - Buchstaben LernSpiel",,,"Bücken, Hajo","[2010]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz in den Kindergarten Lern Spiel Spaß",,,"Bücken, Hajo","[2010]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hexenduell ... ein mag(net)isches Geschicklichkeitsspiel",,,"Endlich, Constanze","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zählelefant Weniger, mehr und gleich",,,"Franz, Rita","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Nuschel doch mal der Sprachspaß mit dem Quatschkasper",,,,"2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Dreiste Geister das magisch-witzige Wettlaufspiel",,,"Burkhardt, Günter","2010",,"Rot Spiele Dreiste",,,,,
"Stadtbibliothek Chemnitz","Busy Bee",,,"Punke, Helmut","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kim & Tim Die Farben- und Zahlenhörnchen ; ... ein pfiffiges Sammelspiel",,,"Friedrich, Gerhard","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zahlen - Das Memo Spiel Spiel dich schlau!",,,,"2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mauseschlau & Bärenstark Mach dich fit und clever! ; Ein Quiz zum Turnen, Lernen und Lachen",,,"Haferkamp, Kai","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Duden - einfach klasse in Mathematik Zahlen-Rallye ; Zahlenraum 1-100",,,"Schneider, Jason","2010",,"Rot Spiele Duden",,,,,
"Stadtbibliothek Chemnitz","Andere Länder andere Sitten das Spiel rund um regionale Bräuche, seltsame Rituale und lokale Eigenheiten",,,"Luger, Marion","2010",,"G 212 And",,,,,
"Stadtbibliothek Chemnitz","Samarkand Karawane zum Reichtum",,,"Peters, David V.H.","2010",,"G 212 Sam",,,,,
"Stadtbibliothek Chemnitz","Keltis das Orakel",,,"Knizia, Reiner","2010",,"G 212 Kel",,,,,
"Stadtbibliothek Chemnitz","Jäger und Sammler",,,"Knizia, Reiner","[2010]",,"G 212 Jäg",,,,,
"Stadtbibliothek Chemnitz","Schlag den Raab blamieren oder kassieren ; das schnelle Quiz",,,"Hemme, Lothar","2010",,"Games Schlag",,,,,
"Stadtbibliothek Chemnitz","Sorry! Bahn frei der turbulente Kegelschiebenspaß mit Rauswurfgarantie!",,,,"2010",,"Games Sorry",,,,,
"Stadtbibliothek Chemnitz","Perudo",,,"Fry, Cosmo","2010",,"Games Perudo",,,,,
"Stadtbibliothek Chemnitz","Die verbotene Insel ein Team, ein Abenteuer, ein Ziel",,,"Leacock, Matt","2010",,"Games Verbote Blau Spiele Verbot",,,,,
"Stadtbibliothek Chemnitz","Grand Cru",,,"Blum, Ulrich","2010",,"Games Grand",,,,,
"Stadtbibliothek Chemnitz","Campos die Macht der kleinen Flächen",,,"Vozzolo, Pietro","2010",,"Games Campos",,,,,
"Stadtbibliothek Chemnitz","Mord im Arosa",,,"Zucchini, Alessandro","2010",,"Games Mord",,,,,
"Stadtbibliothek Chemnitz","Level X",,,"Risthaus, Stefan","2010",,"Games LevelX Rot Spiele Level",,,,,
"Stadtbibliothek Chemnitz","Numeri",,,"Hoffmann, Rudi","2010",,"Rot Spiele Numeri",,,,,
"Stadtbibliothek Chemnitz","Drachenherz",,,"Dorn, Rüdiger","2010",,"Rot Spiele Drachen",,,,,
"Stadtbibliothek Chemnitz","Die Bar-Bolz-Bande das Würfelspiel",,,"Behrens, Fritz","2010",,"Rot Spiele Bar",,,,,
"Stadtbibliothek Chemnitz","Magicus",,,"Reindl, Manfred","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hands up",,,"Zeimet, Jaques","2010",,"Rot Spiele Hands",,,,,
"Stadtbibliothek Chemnitz","Avatar Labyrinth",,,"Kobbert, Max J.","2010",,"Rot Spiele Avatar",,,,,
"Stadtbibliothek Chemnitz","Basti Bär hilft seinen Freunden ... ein tierisches Memospiel",,,"Mückel, Kristin","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gitti Giraffe Lernspielspaß",,,"Kopp, Evelyn","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ball der Prinzessin ... ein traumhaft schönes Memospiel = ¬The Princess's Ball",,,"Basler, Christine","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","1000 und ein Schatz",,,"Teubner, Marco","2010",,"Rot Spiele 1000",,,,,
"Stadtbibliothek Chemnitz","Grimaffen Affenquatsch zum Nachaffen",,,"Knizia, Reiner","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Plateau X",,,"Simon, Hendrik","2010",,"Blau Spiele Plate",,,,,
"Stadtbibliothek Chemnitz","Gut gefragt ist halb gewonnen das witzige Antwortspiel",,,"Wichmann, Peter","2010",,"Games Gutgefr",,,,,
"Stadtbibliothek Chemnitz","High Five! einen Joker voraus",,,"van Teijlingen, Nils","2010",,"Games HighF",,,,,
"Stadtbibliothek Chemnitz","Matrose Ahoi!",,,"Bartel, Haru","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Take it or leave it",,,"Steinwender, Arno","[2010]",,"Blau Spiele Take",,,,,
"Stadtbibliothek Chemnitz","Party Alarm insgesamt 18 spannende Partydisziplinen",,,"Elger, Melanie","c2010",,"Games Party",,,,,
"Stadtbibliothek Chemnitz","A la carte - Dessert",,,"Schmiel, Karl-Heinz","2010",,"Games AlaCarte",,,,,
"Stadtbibliothek Chemnitz","Raus die Maus! das rasante Spiel der kleinen Unterschiede, für Kindergarten, Schule und Zuhause ; Lesen Rechnen Schreiben - Das Anlegespiel für Groß und Klein inkl. Juniorvariante ab 5 Jahren",,,"Galonska, Susanne","2010",,"Rot Spiele Raus",,,,,
"Stadtbibliothek Chemnitz","Just 4 fun colours einfach bunt!",,,"Grunau, Jürgen P.K.","2010",,"Rot Spiele Just",,,,,
"Stadtbibliothek Chemnitz","Himmel, A... und Zwirn! Entscheidend ist, was hinten rauskommt!",,,"Kreowski, Klaus","©2010",,"Rot Spiele Himmel",,,,,
"Stadtbibliothek Chemnitz","Turi-Tour",,,"Zucchini, Alessandro","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bauen & Stapeln Zoolino",,,,"2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Whatzizz??",,,"Rivolett, Alain","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gute Nacht",,,"Krinke, Susanne","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Flinke Füchse",,,"Ludwig, Manfred","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Formenpuzzle Farm ...natürlich, aus Holz",,,,"2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Heckmeck Junior",,,"Knizia, Reiner","2010",,"Rot Spiele Heck",,,,,
"Stadtbibliothek Chemnitz","Zählefant weniger, mehr und gleich",,,"Franz, Rita","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Dominion 2. Erweiterung: Die Alchemisten",,,"Vaccarino, Donald X.","2010",,"Games Domin",,,,,
"Stadtbibliothek Chemnitz","Magors Lesezauber [Laute hören, Wörter zaubern]",,,"Pudding, Plum","2010",,"Rot Spiele Magor",,,,,
"Stadtbibliothek Chemnitz","Reise durch die Jahreszeiten [Frühling, Sommer, Herst und Winder: Was verändert sich?]",,,"Glumpler, Heinrich","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Abenteuer Tierwelt Vier Wissensspiele über faszinierende Tiere",,,"Avonto, Pino","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Englisch Detektive [Setzt euer Englisch ein und fangt Professor Mad!]",,,"Haferkamp, Kai","2010",,"Rot Spiele Englisch",,,,,
"Stadtbibliothek Chemnitz","Schwarzer Freitag",,,"Friese, Friedemann","2010",,"Games Schwa",,,,,
"Stadtbibliothek Chemnitz","Gefährlich ehrlich! das Kommunikationsspiel, bei dem du ganz offen deine Meinung zeigen kannst!",,,"Holzapfel, Anja","[2010]",,"Games Gefäh",,,,,
"Stadtbibliothek Chemnitz","SOS Wildwasser ... ein rasantes Geschicklichkeitsspiel = S.O.S. Whitewater = S.O.S. Aguas bravas",,,"Behre, Christoph","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Safranito geschickt gewürzt ist halb gewonnen",,,"Teubner, Marco","2010",,"Blau Spiele Safran",,,,,
"Stadtbibliothek Chemnitz","Qwirkle Einfach begonnen - schnell gewonnen",,,,"2010",,,,,,,
"Stadtbibliothek Chemnitz","Geistesblitz",,,"Zeimet, Jacques","2010",,"Rot Spiele Geist",,,,,
"Stadtbibliothek Chemnitz","Ausgerechnet Honolulu wer kennt sich aus in der Welt?",,,"Lach, Bernhard","2010",,"Games Ausge",,,,,
"Stadtbibliothek Chemnitz","Flinke Stinker Nase zu und durch",,,"Kohn, Inon","2010",,"Rot Spiele Flinke",,,,,
"Stadtbibliothek Chemnitz","Kugelhund Chiens en folie = Scava scava",,,"Basler, Christine","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Coco Schnipp",,,"Ludwig, Manfred","[2010]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Pips & Betsy",,,"Meyer, Isabelle","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Emmi",,,"Piaskowy, Gerhard","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bella Blümchen ... ein kunterbuntes Würfelspiel = Bella little flower = Bellaflor",,,"Rivollet, Alain","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Angelspaß mit Profiangel",,,"Patschorke, Julia","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Tastomino",,,"Beese, Markus","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Legolino",,,"Brüggemann, Vera","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Strauß voraus! volle Kanne durch die Savanne",,,"Lamont, Fraser","2010",,"Rot Spiele Strauß",,,,,
"Stadtbibliothek Chemnitz","Schatz-Alarm! die magische Suche nach dem gestohlenen Affenschatz!",,,"Meister, Heinz","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Boxxy keine Zeit für große Worte",,,,"2010",,"Games Boxxy G 212 Box",,,,,
"Stadtbibliothek Chemnitz","Rosenkönig dornige Fehde für zwei",,,"Henn, Dirk","2010",,"Games Rosen",,,,,
"Stadtbibliothek Chemnitz","Buzz it! wen erwischt der Buzzer?",,,"Knizia, Reiner","2010",,"Games Buzz",,,,,
"Stadtbibliothek Chemnitz","Asara Land der 1000 Türme",,,"Kramer, Wolfgang","2010",,"Games Asara",,,,,
"Stadtbibliothek Chemnitz","Rummikub Junior Der Spielspaß mit Lerneffekt.",,,"Hertzano, Ephraim","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kunterbunte Autorelli",,,"De Klerk, Roger","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Fürsten von Catan Spiel mit Karten für Zwei",,,"Teuber, Klaus","2010",,"Blau Spiele Fürst",,,,,
"Stadtbibliothek Chemnitz","Bezzerwizzer",,,"Bülow, Jesper","2010",,"Games Bezzer",,,,,
"Stadtbibliothek Chemnitz","Kingdom Builder Nomads [1. Erweiterung]",,,"Vaccarino, Donald X.","2010",,"Games Kindom",,,,,
"Stadtbibliothek Chemnitz","Dominion Die Gilden [8. Erweiterung]",,,"Vaccarino, Donald X.","2010",,"Games Domin",,,,,
"Stadtbibliothek Chemnitz","Bilderwürfel Pepito",,,,"2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kullerei mit Drachenei",,,"Teubner, Marco","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Geheimnis der Zahleninsel [Löse die Aufgaben, sammle die Schätze!]",,,"Knizia, Reiner","2010",,"Rot Spiele Geheim",,,,,
"Stadtbibliothek Chemnitz","Adjektive: Gegensatzpaare",,,"Boretzki, Anja","[2010] © 2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Burg Drachengold",,,"Nikisch, Markus","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schatz der Kobolde",,,"Baumann, Dirk","2010",,"Rot Spiele Schatz",,,,,
"Stadtbibliothek Chemnitz","Conni im Kindergarten 4 Spiele rund um Farben, Formen und Geschicklichkeit Für 2-4 Spieler",,,"Haferkamp, Kai","2010",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Erfindungen das rasante Gedächtnisspiel für die ganze Familie ; was kannst du dir in 10 Sekunden merken?",,,,"2010",,"Blau Spiele Erfind",,,,,
"Stadtbibliothek Chemnitz","Wortissimo der schnelle Wortsport",,,"Schumacher, Georg","2010",,"Blau Spiele Wort",,,,,
"Stadtbibliothek Chemnitz","Die Tore der Welt",,,"Follett, Ken","2009",,"G 212 Tor",,,,,
"Stadtbibliothek Chemnitz","Stefan Marquard's Küchenlatein das große Quiz rund ums Kochen!",,,"Marquard, Stefan","[2009]",,"G 212 Ste",,,,,
"Stadtbibliothek Chemnitz","Blue stories 50 sagenumwobene Rätsel aus den Tiefen des Meeres",,,"Köhrsen, Andrea","2009",,"Rot Spiele Blue",,,,,
"Stadtbibliothek Chemnitz","Pink Stories 50 verflixt verhexte Rätsel nur für Mädchen",,,"Köhrsen, Andrea","2009",,"Rot Spiele Pink",,,,,
"Stadtbibliothek Chemnitz","Weiberabend mehr als 400 Fragen für einen unvergesslichen Weiberabend",,,,"[2009?]",,"G 212 Wei",,,,,
"Stadtbibliothek Chemnitz","Viaggio in Italia Livello A2-B1",,,,"[2009]",,"320 L 332 Via",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz in das Märchenland ...eine märchenhafte Spielesammlung",,,"Bücken, Hajo","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","DiXit",,,"Roubira, Jean-Louis","2009",,"Rot Spiele DiXit Games DiXit",,,,,
"Stadtbibliothek Chemnitz","Make 'n' break challenge noch mehr Bauspaß - jetzt kommt Geschicklichkeit ins Spiel!",,,"Dorra, Stefan","2009",,"Rot Spiele Make",,,,,
"Stadtbibliothek Chemnitz","Muh & Mäh ...ein tierisches Fühlspiel",,,"Liesching, Thomas","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Shaun das Schaf: Köttel-Alarm ein Spiel",,,"Dorra, Stefan","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kannst du Rechnen? piratenstarke Schatzsuche",,,"Haferkamp, Kai","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Welt der Bücher das Quiz ; spannend wie ein gutes Buch",,,,"2009",,"G 212 Wel Games Welt",,,,,
"Stadtbibliothek Chemnitz","Fits das lückenlose Spielvergnügen",,,"Knizia, Reiner","2009",,"G 212 Fit II Spiele Fits",,,,,
"Stadtbibliothek Chemnitz","Die kleine Raupe Nimmersatt Das Original-Spiel zum Buch",,,"Haferkamp, Kai","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Concerto Grosso",,,"Bücken, Hajo","[2009]",,"Rot Spiele Con",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz Zahlen LernSpiel",,,"Bücken, Hajo","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kennst du die Jahreszeiten? spielerisch den Jahresablauf kennenlernen",,,"Haferkamp, Kai","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kleiner Magier ... ein verdrehtes Memospiel!",,,"Flad, Antje","2009",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Odysseas Adventures",,,"Bouman, Arina","2009",,"Rot Spiele Odyss",,,,,
"Stadtbibliothek Chemnitz","Englisch, das Memo-Spiel Duden, Alter 5 - 99",,,"Scholz, Barbara","[2009]",,"Rot G 21 Eng",,,,,
"Stadtbibliothek Chemnitz","Zoowaboo auf die Plätze, fertig - Floß!",,,"Rossi, Carlo A.","[2009]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Babbm Heimor das sächsische Schimpfwortspiel",,,"Schmitz, Michael","2009",,"Ter G 20.0 Sachsen Bab",,,,,
"Stadtbibliothek Chemnitz","Abc, das Memo-Spiel Duden",,,"Scholz, Barbara","[2009]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Callisto the game",,,"Knizia, Reiner","2009",,"Rot Spiele Calli",,,,,
