"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Haustiere",,,"Hölscher, Annemarie","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Raptor",,,"Cathala, Bruno","[2016] © 2016",,"Blau Spiele Raptor",,,,,
"Stadtbibliothek Chemnitz","Kim Koala Koffer-Chaos rund um die Welt",,,,"[2016] [2016]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ed, the Cat Wer fährt seine Krallen aus?",,,"Redl, Florian","[2016] © 2016",,"Blau Spiele Ed",,,,,
"Stadtbibliothek Chemnitz","Kullerhexe",,,"Teubner, Marco","[2016]",,"Rot Spiele Kulle",,,,,
"Stadtbibliothek Chemnitz","Länder toppen! Das faszinierende Länder-Spiel!",,,"Jünemann, Matthias","10/2016",,"Blau Spiele Länder",,,,,
"Stadtbibliothek Chemnitz","Drachenturm",,,"Rossi, Carlo A.","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ich glaub mein Schwein pfeift ...bluffen, pfeifen, weiterspringen! Eine pfiffige Raterallye",,,"Meister, Heinz Georg Wilhelm","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zauberei hoch drei",,,"Zach, Lukas","[2016] © 2016",,"Rot Spiele Zauber",,,,,
"Stadtbibliothek Chemnitz","Leo muss zum Friseur ein tierisches Teamspiel",,,"Colovini, Leo","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Dschungel Bande das total verschobene Abenteuer",,,"Dorra, Stefan","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Interpol ermittelt die Kunst, die richtigen Fragen zu stellen : Deutsch lernen für Krimi-Fans, Niveau A2-B1",,,,"[2016]",,"I 148.7 Int",,,,,
"Stadtbibliothek Chemnitz","Mein zweisprachiges Aufdeckspiel, Obst und Gemüse, Deutsch-Kurdisch",,,,"2016",,,,,,,
"Stadtbibliothek Chemnitz","Hamsterbande",,,"Rogasch, Tim","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Angel-Quiz-Spiel Petri Heil ; unsere Fließgewässerregionen",,,"Landesverband Sächsischer Angler (Dresden)","[2015]",,"10.3/ 49",,,,,
"Stadtbibliothek Chemnitz","Black stories 50 creepy mysteries",,,"Bösch, Holger","2015",,"210 I 211 Bla",,,,,
"Stadtbibliothek Chemnitz","Star Wars - Ligretto",,,,"[2015?]",,"Rot Spiele StarW",,,,,
"Stadtbibliothek Chemnitz","Captain Black Rettet das Geisterschiff vor den tausend Gefahren!",,,"Knizia, Reiner","[2015] © 2015",,"Rot Spiele Capta",,,,,
"Stadtbibliothek Chemnitz","1, 2, Puzzelei - Fahrzeuge Illustration: Peter Pfeiffer",,,"Pfeiffer, Peter","[2015]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","3 sind eine zu viel!",,,"Behre, Christoph","[2015?]",,"Blau Spiele 3sind",,,,,
"Stadtbibliothek Chemnitz","8-28 ein locker zockiger Kartenspaß",,,"Hoyt, David L.","[2015] © 2015",,"Rot Spiele 8-28",,,,,
"Stadtbibliothek Chemnitz","Ausgefuchste Meisterdiebe",,,"Vuagnat, Frédéric","[2015] © 2015",,"Rot Spiele Ausge",,,,,
"Stadtbibliothek Chemnitz","Arschkarte Wer hat die Arschkarte gezogen?",,,,"[2015?]",,"Blau Spiele Arsch",,,,,
"Stadtbibliothek Chemnitz","Architecto",,,"Lyons, Michel","[2015] © 2015",,"Blau Spiele Archi",,,,,
