name,yearPublished,minAge,minPlayers,maxPlayers,rating,weight
Sluff Off!,2003,10,3,5,6.91734,1.8607
Wongar,2000,12,3,5,6.32506,3
Xactika,2002,12,2,10,5.81039,1.9783
Yucatan,1974,0,2,4,6,0
Zatre,1990,8,2,6,6.385,2.0476
Zippers,2013,10,1,6,5.25,3
Zombeasts,2014,8,2,4,5.65854,1.5
Zombicide,2012,13,1,6,7.34265,2.5845
Zooloretto,2007,8,2,5,6.87657,1.8628
Zug um Zug,1972,0,2,4,5,0
Ticket to Ride: Europe,2005,8,2,5,7.59211,1.9657
